GSM818062,"
H4K91ac
      ","
Abcam
      ","
ab4627
      ","
82963
      "
GSM832837,"
H2BK5ac
      ","
Abcam
      ","
ab40886
      ","
529107
      "
GSM832838,"
H2BK5ac
      ","
Abcam
      ","
ab40886
      ","
529107
      "
GSM864034,"
H2BK15ac
      ","
Abcam
      ","
ab62335
      ","
727058
      "
GSM864035,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM864036,"
H3K27me3
      ","
Active Motif
      ","
39155
      ","
30508004
      "
GSM864799,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM864800,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM864801,"
H3K27me3
      ","
Active Motif
      ","
39155
      ","
30508004
      "
GSM896161,"
H3K14ac
      ","
Abcam
      ","
EP964Y
      ","
GR10517-1
      "
GSM896162,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM896163,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM896164,"
H3K27me3
      ","
Active Motif
      ","
39155
      ","
30508004
      "
GSM896165,"
H3K27me3
      ","
Active Motif
      ","
39155
      ","
30508004
      "
GSM896166,"
H4K8ac
      ","
Millipore
      ","
07-328
      ","
DAM1543700
      "
GSM906387,"
H2A.Z
      ","
Abcam
      ","
ab4174-100
      ","
460460
      "
GSM906388,"
H2AK5ac
      ","
Abcam
      ","
ab45152
      ","
699671
      "
GSM906389,"
H2BK120ac
      ","
Active Motif
      ","
39199
      ","
255
      "
GSM906390,"
H2BK12ac
      ","
Abcam
      ","
ab40883
      ","
727056
      "
GSM906391,"
H2BK5ac
      ","
Active Motif
      ","
39123
      ","
229
      "
GSM906392,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM906393,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM906394,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
